Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Nov-2021,02-Dec-2021,CE,15550,1576.85,1576.85,1576.85,1576.85,1576.85,1508.75,2,17.13,1.58,100,100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15600,0,0,0,1432.9,0,1458.8,0,0,0,0,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15650,1533.4,1533.4,1533.4,1533.4,1533.4,1408.8,2,17.18,1.53,100,100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15700,1201.9,1450.4,1201.9,1450.4,1450.4,1358.8,4,34.05,2.65,100,100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15750,0,0,0,1282.95,0,1308.85,0,0,0,0,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15800,0,0,0,1233,0,1258.85,0,0,0,0,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15850,998.45,998.45,998.45,998.45,998.45,1208.85,2,16.85,1,100,100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15900,985,1275.8,960,1173.55,1173.55,1158.9,30,255.94,17.44,650,-300,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,15950,0,0,0,1163.3,1163.3,1108.9,0,0,0,50,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16000,933,1170.6,865.5,1076.65,1073,1076.65,1032,8817.74,561.74,31050,15000,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16050,1015.4,1015.4,1015,1015,1015,1009,2,17.07,1.02,250,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16100,897.6,1037.05,835,1037.05,1037.05,959.1,16,136.12,7.32,2250,50,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16150,770.65,919.3,770.65,900.15,900.15,909.25,7,59.6,3.07,150,-50,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16200,833.75,978.65,696.15,883.4,883.15,883.4,257,2196.09,114.39,2700,600,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16250,0,0,0,905.35,905.35,809.8,0,0,0,50,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16300,640.25,835.1,605.25,779.45,777.75,779.45,37,315.08,13.53,2650,-100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16350,644.1,820.55,550,820.55,820.55,711.05,22,186.91,7.06,450,-200,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16400,669.95,786.9,507.25,688.35,689.65,688.35,435,3706.75,139.75,3300,0,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16450,506.8,738.5,471.4,645.85,645.85,613.65,66,563.18,20.33,600,300,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16500,584.2,698,420.8,591.35,596.1,591.35,8725,74455.77,2474.52,38250,9150,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16550,540.55,642.65,388.3,549.35,542.95,549.35,311,2656.08,82.55,8600,8350,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16600,489.95,605,346.8,503.25,496.25,503.25,4456,38018.56,1033.76,18850,15250,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16650,471.45,550,306.45,461.65,453.75,461.65,1259,10729.27,248.09,19350,2350,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16700,414.4,512.2,271.4,415.45,410.55,415.45,21094,180064.13,3929.23,65900,40250,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16750,410.55,468.65,237.85,371.25,368.75,371.25,9416,80332.54,1473.54,29350,25250,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16800,401.75,424.75,206.9,330.45,331.55,330.45,101195,865280.98,15242.98,276850,116450,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16850,344.8,380,177.7,289.9,286.85,289.9,39520,338028.36,5072.36,71350,52800,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,16900,284.85,338.45,151,249.9,246,249.9,246919,2115908.74,29443.19,297100,200550,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17000,185,258.65,105.75,179.3,178,179.3,925623,7955334.53,87539.03,1194050,-94800,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17050,170,220.45,86.65,147.3,147.2,147.3,357131,3073418.31,28876.54,369650,157200,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17100,140,186.7,70.1,119.7,119,119.7,1289027,11109802.3,88621.45,2205600,400200,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17150,89.95,154.2,55.8,94.25,92.6,94.25,600738,5186024.63,34696.28,673700,98250,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17200,109.5,124.5,43.75,72.2,72,72.2,1579274,13653169.71,71413.31,3635200,669850,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17250,78,98.45,34.2,53.85,53,53.85,510325,4419560.83,18007.7,992050,14000,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17300,73.8,76,26.2,38.65,39,38.65,1453470,12611207.18,38691.68,6096650,1425800,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17350,40,57.4,19.65,27.6,27.95,27.6,533014,4634410.41,10513.96,1436800,294700,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17400,33.95,42.9,15.7,19.4,19,19.4,1186108,10336606.48,17466.88,3688000,-208950,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17450,22,32.5,11.1,13.5,13.95,13.5,354047,3092868.07,3808,1159850,-242100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17500,20,24.4,8.5,9.5,9.55,9.5,1230347,10775357.79,9821.54,6179250,574300,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17550,30,30,6.05,6.65,6.75,6.65,309216,2715106.44,1736.04,1558100,359950,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17600,12.7,13.75,4.55,4.8,4.8,4.8,744813,6557386.76,3032.36,4285950,537450,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17650,9,10.45,3.6,3.85,4,3.85,194092,1713454.24,592.34,1086350,57750,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17700,11.2,11.2,2.9,3.2,3.3,3.2,537598,4759021.12,1278.82,3450450,-361200,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17750,6.2,7.6,2.55,2.75,2.85,2.75,113066,1003688.53,227.78,891300,-9800,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,17800,5.5,7,2.35,2.5,2.55,2.5,455530,4055004.12,787.12,3905100,875950,-
