Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Nov-2021,09-Dec-2021,CE,15550,0,0,0,1495.6,0,1520.95,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15600,0,0,0,1446.1,0,1471.3,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15650,0,0,0,1396.75,0,1421.8,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15700,0,0,0,1347.5,0,1372.35,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15750,0,0,0,1298.45,0,1323.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15800,0,0,0,1249.55,0,1273.9,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15850,0,0,0,1200.95,0,1224.95,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15900,1105,1242,1027.65,1242,1242,1176.25,11,93.67,6.22,150,50,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,15950,1088.85,1232.75,981.95,1232.75,1232.75,1127.75,6,51.11,3.26,150,150,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16000,1017.15,1202.1,931.1,1102.8,1102.8,1079.65,17,145.42,9.42,250,150,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16050,994.35,1157,891.9,1157,1157,1031.85,12,102.53,6.23,300,200,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16100,996.35,1064.6,869.7,1064.6,1064.6,984.5,7,59.75,3.4,100,100,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16150,935.35,953.4,803.3,953.4,953.4,937.65,6,51.13,2.68,200,200,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16200,912.7,912.7,737,890.6,890.6,891.35,7,59.68,2.98,200,50,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16250,806.4,863.5,695,863.5,863.5,845.65,8,68.02,3.02,300,250,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16300,819.3,884.8,672,884.8,884.8,800.65,12,102.4,4.6,300,250,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16350,685.55,844.4,614,844.4,844.4,756.4,14,119.43,4.98,400,250,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16400,701.6,832.35,580,832.35,832.35,713,34,289.86,11.06,850,800,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16450,636,754.45,542,691.35,691.35,670.5,98,836.73,30.68,800,750,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16500,543.5,740,496.65,650.6,641.15,650.6,906,7729.53,255.03,7600,2750,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16550,571,658.2,472.55,606,606,606,32,273.72,8.92,1000,550,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16600,536.95,637.15,425.55,566.05,562.85,566.05,786,6713.5,189.7,4850,4300,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16650,499.95,607.95,409,526.05,526.05,526.05,59,505.81,14.63,700,600,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16700,440.85,548.85,358.45,478.7,481.95,478.7,701,6005.06,151.71,5900,4650,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16750,412.2,515.05,329.5,449.05,443.1,449.05,248,2130.58,53.58,1900,800,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,16800,398.45,491.95,296.05,408.7,400.85,408.7,3060,26298.03,594.03,18800,13550,-
